"gemeinde_kennziffer";"l_untergrenze";"exponierte";"l_zentral";"metrik";"quelle";"kartierungsumfang";"datenquelle";"bundesland_kreis_code";"Bundesland_Code";"Kreis_Code";"Kreis_Name"
"06435014";"70";"3048";"72";"lden";"Straße";"all";"Bundesland";"06435";"06";"435";"Main-Kinzig-Kreis"
"06435014";"75";"132";"77";"lden";"Straße";"all";"Bundesland";"06435";"06";"435";"Main-Kinzig-Kreis"
"06435014";"50";"11320";"52";"lnight";"Straße";"all";"Bundesland";"06435";"06";"435";"Main-Kinzig-Kreis"
"06435014";"55";"11191";"57";"lnight";"Straße";"all";"Bundesland";"06435";"06";"435";"Main-Kinzig-Kreis"
"06435014";"60";"3973";"62";"lnight";"Straße";"all";"Bundesland";"06435";"06";"435";"Main-Kinzig-Kreis"
"06435014";"65";"236";"67";"lnight";"Straße";"all";"Bundesland";"06435";"06";"435";"Main-Kinzig-Kreis"
"06435014";"70";"18";"72";"lnight";"Straße";"all";"Bundesland";"06435";"06";"435";"Main-Kinzig-Kreis"
"06611000";"55";"29593";"57";"lden";"Straße";"all";"Bundesland";"06611";"06";"611";"Kassel, documenta-Stadt"
"06611000";"60";"28067";"62";"lden";"Straße";"all";"Bundesland";"06611";"06";"611";"Kassel, documenta-Stadt"
"06611000";"65";"19859";"67";"lden";"Straße";"all";"Bundesland";"06611";"06";"611";"Kassel, documenta-Stadt"
"06611000";"70";"14788";"72";"lden";"Straße";"all";"Bundesland";"06611";"06";"611";"Kassel, documenta-Stadt"
"06611000";"75";"5304";"77";"lden";"Straße";"all";"Bundesland";"06611";"06";"611";"Kassel, documenta-Stadt"
"06611000";"50";"29619";"52";"lnight";"Straße";"all";"Bundesland";"06611";"06";"611";"Kassel, documenta-Stadt"
"06611000";"55";"22098";"57";"lnight";"Straße";"all";"Bundesland";"06611";"06";"611";"Kassel, documenta-Stadt"
"06611000";"60";"15455";"62";"lnight";"Straße";"all";"Bundesland";"06611";"06";"611";"Kassel, documenta-Stadt"
"06611000";"65";"5944";"67";"lnight";"Straße";"all";"Bundesland";"06611";"06";"611";"Kassel, documenta-Stadt"
"06611000";"70";"717";"72";"lnight";"Straße";"all";"Bundesland";"06611";"06";"611";"Kassel, documenta-Stadt"
"06431001";"55";"0";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431001";"60";"0";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431001";"65";"0";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431001";"70";"0";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431001";"75";"0";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431001";"50";"0";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431001";"55";"0";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431001";"60";"0";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431001";"65";"0";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431001";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431002";"55";"4815";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
