"quelle";"metrik";"bevoelkerung";"exponierteGesamt_major";"exponierteGesamt_all";"AnzKartierteGemeinden_major";"AnzKartierteGemeinden_all"
"Straße";"lden";"25660460";"6651200";"10387800";"72";"72"
"Straße";"lnight";"25660460";"4763200";"7495900";"72";"72"
