"gemeinde_kennziffer";"name_stadt_gemeinde";"geoschluessel_stellen";"metrik";"l_untergrenze";"exponierte";"l_zentral";"bundesland_code";"quelle";"kartierungsumfang";"datenquelle";"gemeinde_bezeichnung";"gemeinde_kennzeichnung";"bevoelkerung";"flaeche"
"06413000";"Offenbach am Main";"6";"lnight";"70";"26";"72";"06";"Straße";"all";"Bundesland";"Offenbach am Main, Stadt";"Kreisfreie Stadt";"132746";"4488"
"06414000";"Wiesbaden";"6";"lden";"55";"40091";"57";"06";"Straße";"all";"Bundesland";"Wiesbaden, Landeshauptstadt";"Kreisfreie Stadt";"288850";"20387"
"06414000";"Wiesbaden";"6";"lden";"60";"30788";"62";"06";"Straße";"all";"Bundesland";"Wiesbaden, Landeshauptstadt";"Kreisfreie Stadt";"288850";"20387"
"06414000";"Wiesbaden";"6";"lden";"65";"30173";"67";"06";"Straße";"all";"Bundesland";"Wiesbaden, Landeshauptstadt";"Kreisfreie Stadt";"288850";"20387"
"06414000";"Wiesbaden";"6";"lden";"70";"21385";"72";"06";"Straße";"all";"Bundesland";"Wiesbaden, Landeshauptstadt";"Kreisfreie Stadt";"288850";"20387"
"06414000";"Wiesbaden";"6";"lden";"75";"2261";"77";"06";"Straße";"all";"Bundesland";"Wiesbaden, Landeshauptstadt";"Kreisfreie Stadt";"288850";"20387"
"06414000";"Wiesbaden";"6";"lnight";"50";"34759";"52";"06";"Straße";"all";"Bundesland";"Wiesbaden, Landeshauptstadt";"Kreisfreie Stadt";"288850";"20387"
"06414000";"Wiesbaden";"6";"lnight";"55";"32191";"57";"06";"Straße";"all";"Bundesland";"Wiesbaden, Landeshauptstadt";"Kreisfreie Stadt";"288850";"20387"
"06414000";"Wiesbaden";"6";"lnight";"60";"23622";"62";"06";"Straße";"all";"Bundesland";"Wiesbaden, Landeshauptstadt";"Kreisfreie Stadt";"288850";"20387"
"06414000";"Wiesbaden";"6";"lnight";"65";"3961";"67";"06";"Straße";"all";"Bundesland";"Wiesbaden, Landeshauptstadt";"Kreisfreie Stadt";"288850";"20387"
"06414000";"Wiesbaden";"6";"lnight";"70";"81";"72";"06";"Straße";"all";"Bundesland";"Wiesbaden, Landeshauptstadt";"Kreisfreie Stadt";"288850";"20387"
"06435014";"Hanau";"6";"lden";"55";"14240";"57";"06";"Straße";"all";"Bundesland";"Hanau, Brüder-Grimm-Stadt";"Stadt";"97956";"7628"
"06435014";"Hanau";"6";"lden";"60";"10124";"62";"06";"Straße";"all";"Bundesland";"Hanau, Brüder-Grimm-Stadt";"Stadt";"97956";"7628"
"06435014";"Hanau";"6";"lden";"65";"10219";"67";"06";"Straße";"all";"Bundesland";"Hanau, Brüder-Grimm-Stadt";"Stadt";"97956";"7628"
"06435014";"Hanau";"6";"lden";"70";"3048";"72";"06";"Straße";"all";"Bundesland";"Hanau, Brüder-Grimm-Stadt";"Stadt";"97956";"7628"
"06435014";"Hanau";"6";"lden";"75";"132";"77";"06";"Straße";"all";"Bundesland";"Hanau, Brüder-Grimm-Stadt";"Stadt";"97956";"7628"
"06435014";"Hanau";"6";"lnight";"50";"11320";"52";"06";"Straße";"all";"Bundesland";"Hanau, Brüder-Grimm-Stadt";"Stadt";"97956";"7628"
